COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE;SITUACAO
3110608;4211;Cambuí;CAMBUI;MG;Minas Gerais;29814;0;SE;0,751;0,872;0,674;0,722;Aprovado
3110707;4213;Cambuquira;CAMBUQUIRA;MG;Minas Gerais;12812;0;SE;0,699;0,856;0,577;0,691;Aprovado
1502103;441;Cametá;CAMETA;PA;Pará;139364;0;N;0,577;0,754;0,474;0,538;Aprovado
2302602;1351;Camocim;CAMOCIM;CE;Ceará;63907;0;NE;0,62;0,729;0,578;0,565;Aprovado
2603504;2369;Camocim de São Félix;CAMOCIM DE SAO FELIX;PE;Pernambuco;18900;0;NE;0,588;0,738;0,472;0,585;Aprovado
3110806;4215;Campanário;CAMPANARIO;MG;Minas Gerais;3730;0;SE;0,616;0,831;0,464;0,607;Aprovado
3110905;4217;Campanha;CAMPANHA;MG;Minas Gerais;16762;0;SE;0,709;0,849;0,587;0,715;Não Cadastrado
2701357;560;Campestre;CAMPESTRE;AL;Alagoas;6954;0;NE;0,559;0,729;0,435;0,55;Aprovado
3111002;4219;Campestre;CAMPESTRE;MG;Minas Gerais;21054;0;SE;0,698;0,843;0,566;0,712;Aprovado
4303673;6013;Campestre da Serra;CAMPESTRE DA SERRA;RS;Rio Grande do Sul;3395;0;S;0,706;0,886;0,557;0,713;Aprovado
5204607;9291;Campestre de Goiás;CAMPESTRE DE GOIAS;GO;Goiás;3649;0;CO;0,653;0,799;0,556;0,628;Aprovado
2102556;140;Campestre do Maranhão;CAMPESTRE DO MARANHAO;MA;Maranhão;14453;0;NE;0,652;0,774;0,586;0,611;Não Cadastrado
4103909;7475;Campina da Lagoa;CAMPINA DA LAGOA;PR;Paraná;14043;0;S;0,704;0,829;0,623;0,677;Aprovado
4303707;8573;Campina das Missões;CAMPINA DAS MISSOES;RS;Rio Grande do Sul;5398;0;S;0,738;0,849;0,677;0,698;Aprovado
3509452;2999;Campina do Monte Alegre;CAMPINA DO MONTE ALEGRE;SP;São Paulo;6057;0;SE;0,717;0,846;0,634;0,687;Rejeitado
4103958;840;Campina do Simão;CAMPINA DO SIMAO;PR;Paraná;3859;0;S;0,63;0,792;0,527;0,598;Não Cadastrado
2504009;1981;Campina Grande;CAMPINA GRANDE;PB;Paraíba;411807;0;NE;0,72;0,812;0,654;0,702;Aprovado
4104006;7477;Campina Grande do Sul;CAMPINA GRANDE DO SUL;PR;Paraná;43685;0;S;0,718;0,86;0,605;0,712;Aprovado
3111101;4221;Campina Verde;CAMPINA VERDE;MG;Minas Gerais;19752;0;SE;0,704;0,868;0,562;0,714;Aprovado
5204656;9687;Campinaçu;CAMPINACU;GO;Goiás;3632;0;CO;0,631;0,819;0,476;0,644;Não Cadastrado
5102603;9863;Campinápolis;CAMPINAPOLIS;MT;Mato Grosso;16919;0;CO;0,538;0,803;0,324;0,597;Aprovado
3509502;6291;Campinas;CAMPINAS;SP;São Paulo;1213792;0;SE;0,805;0,86;0,731;0,829;Aprovado
2202109;1041;Campinas do Piauí;CAMPINAS DO PIAUI;PI;Piauí;5620;0;NE;0,544;0,776;0,397;0,524;Aprovado
4303806;8575;Campinas do Sul;CAMPINAS DO SUL;RS;Rio Grande do Sul;5438;0;S;0,76;0,842;0,691;0,753;Rejeitado
5204706;9293;Campinorte;CAMPINORTE;GO;Goiás;12764;0;CO;0,688;0,841;0,565;0,685;Não Cadastrado
